module idx,bit-flip idx,module name,weight idx,weight before attack,weight after attack,validation mcc,mcc drop,trial seed
9,62,classifier,[ 0 60],-0.0187371838837862,-1.0,0.7969727803263115,0.03521037013629602,498
9,63,classifier,[ 0 61],-0.008179182186722755,-1.0,0.7969727803263115,0.03521037013629602,498
9,64,classifier,[ 0 62],0.05918393284082413,0.0,0.7969727803263115,0.03521037013629602,498
9,65,classifier,[ 0 63],-0.04216145724058151,-1.0,0.7969727803263115,0.03521037013629602,498
9,66,classifier,[ 0 64],-0.06451120227575302,-1.0,0.7969727803263115,0.03521037013629602,498
9,67,classifier,[ 0 65],-0.002639376325532794,-1.0,0.7969727803263115,0.03521037013629602,498
9,68,classifier,[ 0 66],-0.035789310932159424,-1.0,0.7969727803263115,0.03521037013629602,498
9,69,classifier,[ 0 67],0.00853639841079712,0.0,0.7969727803263115,0.03521037013629602,498
9,70,classifier,[ 0 68],0.06451433151960373,0.0,0.7969727803263115,0.03521037013629602,498
9,71,classifier,[ 0 69],0.0007475537131540477,0.0,0.7969727803263115,0.03521037013629602,498
9,72,classifier,[ 0 70],-0.008574704639613628,-1.0,0.7969727803263115,0.03521037013629602,498
9,73,classifier,[ 0 71],-0.0055625890381634235,-1.0,0.7969727803263115,0.03521037013629602,498
9,74,classifier,[ 0 72],0.02248045802116394,0.0,0.7969727803263115,0.03521037013629602,498
9,75,classifier,[ 0 73],0.0636163055896759,0.0,0.7969727803263115,0.03521037013629602,498
9,76,classifier,[ 0 74],-0.030829206109046936,-1.0,0.7969727803263115,0.03521037013629602,498
9,77,classifier,[ 0 75],-0.022846002131700516,-1.0,0.7969727803263115,0.03521037013629602,498
9,78,classifier,[ 0 76],0.01753644458949566,0.0,0.7969727803263115,0.03521037013629602,498
9,79,classifier,[ 0 77],0.03502121940255165,0.0,0.7969727803263115,0.03521037013629602,498
9,80,classifier,[ 0 78],0.03902759030461311,0.0,0.7969727803263115,0.03521037013629602,498
9,81,classifier,[ 0 79],-0.04689282923936844,-1.0,0.7969727803263115,0.03521037013629602,498
9,82,classifier,[ 0 80],0.0343516543507576,0.0,0.7969727803263115,0.03521037013629602,498
